"","Date","engie","umicore","solvay","ing","cofinimmo","abinbev","colruyt","bekaert","elia","proximus","gbl","delhaize","galapagos","bpost","ucb","telenet","ageas","kbc","ontex","ackermans"
"1",2015-07-30,17.56,39.355,134.85,15.45,97.73,109.15,43.825,25.035,38.045,33.955,75.29,81.19,53.11,25.785,67,50.82,37.31,62.18,27.6,138.2
"2",2015-07-31,17.485,39.86,131,15.49,97.9,108.35,44.19,26.6,38.165,34.29,75.17,82.09,54.63,25.755,70.46,51.36,37.495,63.46,27.69,139.2
"3",2015-08-03,17.645,39.2,131,15.725,98.66,110.9,44.285,27.02,38.15,34.98,75.18,83.3,57.29,26.495,71.8,52.94,37.765,64.14,28.2,138.55
"4",2015-08-04,17.545,39.555,131.55,15.61,99.79,109.55,44.825,27.57,38.145,34.96,74.88,82.7,57.69,26.705,72.2,53.8,38.495,63.74,29.19,138.5
"5",2015-08-05,17.82,39.675,132.45,15.065,100.1,111.8,45.32,27.715,38.065,35.105,75.34,83.83,57.21,26.67,73.31,53.32,38.88,63.44,29.1,138.5
"6",2015-08-06,17.75,39.42,132.5,15.06,100.3,111.65,45.37,29.295,38.28,34.865,75.03,84.17,56.6,26.325,72.85,52.72,38.85,65.34,29.35,139.45
"7",2015-08-07,17.91,38.67,132.8,14.62,99.65,110.2,45.045,29.83,37.855,34.485,73.9,82.95,53.87,24,71.73,52.4,38.54,63.8,29.09,137.4
"8",2015-08-10,17.94,38.955,129.5,14.855,100.4,111.1,45.2,29.63,37.61,34.805,74.42,82.77,55.25,23.095,72.23,52.97,38.985,63.49,29.35,138.4
"9",2015-08-11,17.675,37.99,128.85,14.785,99.5,109.15,44.695,28.85,37.755,34.79,73.99,82.15,54.32,22.6,71.41,52.26,39.06,63.77,29.2,138
"10",2015-08-12,17.29,36.83,125,14.175,98.11,105.6,44.005,27.54,37.375,33.81,72.62,79.46,52.8,22.655,69.54,51.43,37.99,60.88,28.945,132.6
"11",2015-08-13,17.43,37.605,126.65,14.16,99.03,106.7,44.335,27.095,37.555,33.95,73.56,80.27,55.31,22.75,71.28,52.35,38.095,61.47,28.73,137
"12",2015-08-14,17.22,37.945,124.95,14.11,98.92,104.95,44.535,27.055,37.36,33.925,73.35,79.96,54.3,22.83,70.72,51.76,37.67,61.18,28.685,137.85
"13",2015-08-17,17.36,38.045,122.5,14.09,99.5,104.25,44.445,27.065,37.515,33.75,73.29,79.95,53.99,22.775,70.97,51.63,37.76,61.21,28.35,137.25
"14",2015-08-18,17.17,37.82,122.6,14.525,99.74,105.15,44.335,26.715,37.395,33.58,73.04,81.43,58.53,22.825,71.96,52.12,37.955,61.44,28.555,138.5
"15",2015-08-19,16.93,36.825,122.55,14.21,98.42,103.55,43.67,26.09,37.205,33.285,71.48,79.68,57.43,22.65,70.39,51.65,37.625,60.84,28.31,135.9
"16",2015-08-20,16.81,36.43,120.1,13.66,97.07,100.2,43.265,26.41,37.055,32.34,70.49,82.07,57.87,22.17,69.8,50.65,37.115,59,27.435,133.15
"17",2015-08-21,16.21,35.45,115,13.155,93.77,96.47,42.585,25.63,36.435,31.63,68.39,79.98,54.83,21.57,67.5,49.345,36.52,56.98,26.66,127.95
"18",2015-08-24,15.06,34.085,110,12.47,91.2,91.28,41.05,24.51,35.765,30.03,65.88,74.28,51.13,21.185,64.59,48.4,34.51,54.38,25.3,123
"19",2015-08-25,15.73,35.19,114.45,13.355,93.26,95.11,42.055,25.14,35.975,31.5,68.25,77.74,55.19,21.73,66.05,49.64,35.37,57.96,26.54,130.2
"20",2015-08-26,15.445,34.725,111.55,13.2,91.92,93.8,41.82,24.935,35.91,31.23,67.51,76.88,53.36,21.55,65.18,49.515,35.02,56.85,26.4,127.75
"21",2015-08-27,16.02,35.55,116.45,13.72,94.24,96.99,42.85,25.54,36.44,31.78,68.86,79.41,54.02,21.675,67.76,49.99,35.315,59.11,27.67,130.6
"22",2015-08-28,16.21,35.68,116,13.665,94.64,97.79,42.53,25.865,37.41,32.125,69.55,79.88,54.03,21.825,67.53,50.24,35.875,59.01,27.43,128.8
"23",2015-08-31,15.985,35.655,115,13.645,93.57,97.46,43.505,25.87,40.335,32.095,69.25,79.91,53.99,21.74,67.54,50.24,36.5,59.17,27.88,132.2
"24",2015-09-01,15.55,34.845,113.5,13.23,92.02,94.79,42.26,25.155,39.16,31.24,67.79,77.81,52.04,21.19,66.63,49.065,35.525,58.14,26.935,131.8
"25",2015-09-02,15.555,35.21,113.5,13.215,93.7,95.83,42.45,25.035,38.6,31.36,67.93,78.06,50.58,21.385,69.44,49.105,35.555,58.31,27,133.15
"26",2015-09-03,15.485,36.025,115,13.585,94.39,97.23,42.85,25.61,38.715,31.985,69.05,79.76,53.25,21.79,71.2,50.14,35.935,58.42,27.44,134
"27",2015-09-04,15.035,35.85,113,13.1,93.38,95.39,42.33,24.855,38.97,31.365,67.28,78.44,51.42,21.58,71.08,49.645,35.375,57.22,27.005,132.55
"28",2015-09-07,15.22,36.05,113,13.275,93.31,95.71,42.53,24.74,40.07,31.74,67.48,78.62,50.85,21.625,70.38,50.41,35.5,57.48,26.85,132.45
"29",2015-09-08,15.42,36.645,113.9,13.41,93.92,95.61,42.915,24.985,39.955,31.815,68.03,79.73,52.87,21.78,71.43,50.91,36.315,58.19,27.02,133.4
"30",2015-09-09,15.72,37.17,113.65,13.62,94.56,97.87,43.24,25.65,40.775,32.445,68.81,81.13,52.65,21.65,71.33,52.22,36.69,59.15,26.93,134.5
"31",2015-09-10,15.28,36.8,110,13.46,93.98,95.6,42.495,25.435,40.44,32.28,67.99,80.72,52.64,21.69,72.87,52.03,36.565,59.15,27.23,134.5
"32",2015-09-11,15.27,36.35,109,13.25,93.15,94.47,41.725,25.425,40.65,31.79,67.59,79.98,52.16,21.27,72.35,51.4,36.295,58.93,26.915,133.45
"33",2015-09-14,15.13,36.69,108.95,13.085,92.55,94.19,41.33,24.98,39.515,31.655,67.1,79.81,50.74,21.125,71.73,51.05,36.215,58.23,26.7,132.5
"34",2015-09-15,15.05,36.49,108.5,13.295,92.44,94.45,41.105,24.745,40.55,31.415,67.5,79.05,51.48,21.15,71.71,51.26,36.73,59.26,27.09,133.65
"35",2015-09-16,15.35,37.205,109.95,13.25,92.55,100.5,42.005,25.12,42.325,31.71,68.41,81.23,51.72,21.44,71.99,52.08,37.13,58.93,27.215,134.35
"36",2015-09-17,15.465,36.92,110.4,13.32,92.65,100.65,41.75,25.095,42.075,31.71,68.45,79.32,50.98,21.355,71.72,52,37.06,58.55,27.405,134.95
"37",2015-09-18,14.97,36.13,107.5,12.76,92.7,98.3,42.18,24.77,42.17,31.92,67.47,79.05,53.41,20.84,71.66,53.06,36.755,57.35,27.265,131.2
"38",2015-09-21,15.085,36.78,107.5,12.985,93.72,98.61,42.465,24.42,42.39,32.125,67.8,80.7,58.32,21.65,73.19,52.91,36.835,57.69,27.29,132.95
"39",2015-09-22,14.61,34.925,103.55,12.58,92.77,95.8,41.665,23.67,42.56,31.16,65.97,77.22,58,21.275,70.26,52.6,36.115,56.19,26.9,129.7
"40",2015-09-23,14.535,34.385,107.05,12.53,93.92,96.91,41.39,23.615,42.2,31.2,66.49,77.13,56.65,21.445,71.14,52.49,36.43,55.8,26.44,130.8
"41",2015-09-24,14.275,33.64,103,12.38,93.17,94.5,40.855,23.385,42.46,30.565,65.52,74.84,55.07,20.945,71.01,51.77,36.7,55.25,26.475,129.4
"42",2015-09-25,14.58,34.725,104.9,12.865,94.79,97.22,41.635,23.38,42.74,31.4,66.39,76.77,44.75,21.25,73.52,52.39,37.23,57,26.79,134
"43",2015-09-28,14.15,33.3,105,12.425,93.58,96.24,41.275,22.87,42.67,30.93,65.8,75.93,41.52,21,71.17,51.86,36.81,56.31,26.405,133.2
"44",2015-09-29,14.17,33.755,106.5,12.42,93.43,93.55,41.635,22.87,42.585,30.575,66.23,77.61,35.155,20.875,69.36,50.93,36.445,55.38,26.65,130.1
"45",2015-09-30,14.44,34.445,105,12.65,94.35,94.92,43.03,23.525,43.5,30.86,67.41,79.1,36.545,21.23,69.85,51.27,36.705,56.37,27.45,131
"46",2015-10-01,13.95,34.515,113.4,12.71,93.44,94.29,42.595,23.6,42.935,30.19,67.5,78.95,36.9,21.06,70.2,50.98,36.815,56.39,27.11,131.5
"47",2015-10-02,14.03,34.58,111,12.675,93.33,95.72,42.1,23.69,43.405,30.005,68.09,79.86,36.57,21.105,70.57,51.08,37.065,56.26,26.46,130.65
"48",2015-10-05,14.5,35.66,113,13.165,96.42,98.38,44.1,24.625,43.88,31.08,70.12,82.6,39.16,21.7,72.31,51.5,38.075,57.33,27.535,131.95
"49",2015-10-06,14.715,35.81,113,13.185,96.61,98.06,44.48,25.155,43.56,30.405,70.26,83.3,41.635,21.495,71.66,51,38.13,58.11,27.38,132.95
"50",2015-10-07,14.945,37.185,114,13.105,95.85,98.65,44.215,25.56,43.91,30.05,70.73,83.1,40.395,21.4,68.2,50.49,38.195,57.74,26.805,131.35
"51",2015-10-08,15.055,37.515,115,12.86,96.14,97.5,44.315,25.225,44,30.005,70.6,83.33,38.43,21.67,68.14,50.6,38.64,56.38,27.4,130.5
"52",2015-10-09,15.175,38.32,114,12.725,96.86,98.3,44.16,25.415,43.295,29.605,71.34,82.53,38.85,21.65,68.48,50.05,38.76,55.37,27.2,131.45
"53",2015-10-12,15.245,37.78,119.5,12.53,96.75,98.35,43.94,25.365,43.68,29.695,71.14,81.09,38.68,21.565,67.91,49.715,38.51,54.39,27.325,132.65
"54",2015-10-13,14.685,37.13,118.45,12.53,96.5,100,43.585,25.03,43.44,29.36,70.57,81,40.615,21.425,68.08,49.495,38.055,54.6,26.885,132.6
"55",2015-10-14,15.03,37.05,116.55,12.52,96.28,100.65,43.14,25.05,43.31,28.885,70.34,78.19,39.895,21.475,67.41,49.8,37.915,54.46,26.505,131.05
"56",2015-10-15,14.94,37.545,116.5,12.765,96.9,101.15,43.555,25.495,43.535,29.265,71.14,79.55,41.8,21.775,68.31,50.09,38.165,54.45,27.65,133.45
"57",2015-10-16,15.145,37.175,113.55,12.97,97.11,101.4,43.93,25.375,44,30.125,71.86,79.4,42.75,21.53,69.45,50.17,38.42,55.46,27.875,134.6
"58",2015-10-19,15.11,37.125,111.5,12.995,98.37,102.45,44,25.135,44.22,30.325,71.67,79.52,45.4,21.96,69.55,50.61,38.63,55.7,28.16,135.5
"59",2015-10-20,15.26,36.885,111,12.865,98.59,102.4,43.91,25.165,44.64,30.45,71.23,79.5,45.08,22.01,68.45,50.85,38.85,55.28,28.405,136.35
"60",2015-10-21,15.465,37.02,110.75,12.9,98.7,101.25,44.07,25.55,44.78,30.485,71.37,79.48,43.87,22.015,67.67,50.31,38.865,54.78,28.85,135.9
"61",2015-10-22,15.81,38.375,112,13.025,99.4,104.5,44.185,25.995,44.31,31.3,72.5,79.46,43.5,22.1,67.99,50.57,39.24,53.22,28.5,134.25
"62",2015-10-23,16.24,39.005,111.6,13.365,100,107.15,44.73,26.36,44.165,32,74.06,81.12,43.8,22.65,69.83,51.79,39.67,52.63,28.5,137.75
"63",2015-10-26,16.1,38.71,111.55,13.465,100,106.55,44.715,26.4,44.145,32.2,73.81,81.5,43.365,22.285,70.88,51.81,39.945,53.53,28.47,137.65
"64",2015-10-27,15.815,37.655,111.6,13.32,100.25,106.15,44.39,26.01,43.875,31.83,73.18,81.89,43.42,22.2,71.52,50.91,39.785,54.86,28.23,136.65
"65",2015-10-28,16.09,38.21,115.95,13.415,101.15,107.6,44.8,26.54,44.075,31.9,74.07,82.86,43.405,22.475,75.81,51.12,40.13,55.99,28.26,138.55
"66",2015-10-29,15.87,38.815,115.85,13.29,100.85,107.45,45.455,26.525,43.735,32.255,74.29,84.62,44.15,22.63,76.69,52.97,40.15,55.11,28.04,139.2
"67",2015-10-30,15.955,38.65,115,13.235,101.5,108.7,45.035,27,44.01,31.515,73.91,84.41,44,22.77,78.72,52.92,40.185,55.4,27.975,138.5
"68",2015-11-02,16.225,38.71,118,13.365,101.1,108.65,44.97,27.35,44.055,31.395,74.57,84.45,44.035,22.825,80.22,52.75,40.38,55.9,27.575,139.55
"69",2015-11-03,16.15,39.42,117,13.145,99.75,108.55,45.135,27.39,43.65,31.125,74.63,84.56,44.075,22.605,80.11,51.56,40.29,54.77,27.855,139.3
"70",2015-11-04,16.15,39.885,117,13.41,100.05,109.5,45.32,27.37,43.885,31.31,74.64,85.81,45,22.65,80.08,51.36,39.385,54.39,27.45,137.8
"71",2015-11-05,16.235,39.765,116.45,13.225,99.91,110.2,44.945,26.685,43.84,30.92,75.01,86.71,46.5,21.985,80.66,50.44,39.225,53.33,29.75,139.5
"72",2015-11-06,16.195,40.11,119.95,13.74,98.73,111.85,45.12,26.885,43.52,30.89,75.16,88.12,46.09,23.89,80.77,50.5,39.64,56.07,31.965,141.4
"73",2015-11-09,15.905,39.77,121.95,13.56,97.33,110.95,44.33,26.84,43.385,30.305,74.78,88.29,45.68,23.45,80.77,49.995,39.63,55.53,32.095,141.9
"74",2015-11-10,15.875,38.69,118.45,13.64,96.54,111.2,44.33,26.94,43.785,30.77,74.71,87.2,47.39,23.3,80.14,50.71,39.675,55.84,32.42,143.55
"75",2015-11-11,15.875,38.9,116,13.7,97.09,113.6,44.67,26.945,43.79,31.12,75.33,90.32,49.9,23.455,81.27,51.3,40.105,56,32.575,144.4
"76",2015-11-12,16.115,38.23,112.5,13.455,96.3,112.4,44.55,26.695,43.54,30.525,74.26,88.65,47.75,22.975,79.41,51.26,39.715,55.05,32.215,141.65
"77",2015-11-13,16.05,38.01,112,13.265,97.13,112.25,44.165,25.44,43.51,30.965,74.38,87.65,46.15,22.875,80.26,51.33,39.69,54.72,32.12,140.65
"78",2015-11-16,16.065,37.955,112,13.165,97.82,114,44.66,25.335,43.55,31.23,74.76,88.94,49,22.995,80.48,51.3,39.845,56.38,32.17,141.25
"79",2015-11-17,16.47,38.935,113,13.44,98.96,117.85,45.995,25.67,43.815,32.055,76.69,92.15,49.75,23.485,81.11,52.3,40.4,54.85,32.95,143.1
"80",2015-11-18,16.445,38.895,117.1,13.3,99.09,117.75,45.295,25.675,43.37,31.68,76.54,91.17,48.43,23.525,80.58,51.87,40.355,54.49,32.985,142.15
"81",2015-11-19,16.58,39.385,115,13.29,100.3,116.35,45.45,26.515,43.41,31.875,77.59,91.76,47.2,23.565,81.08,51.89,40.59,54.91,32.95,142.9
"82",2015-11-20,16.62,39.285,113,13.12,100.1,118.1,45.98,26.515,44.425,31.72,77.67,92.22,46.465,23.615,80.93,51.74,40.56,54.23,32.855,139.5
"83",2015-11-23,16.405,39.135,112,13.045,99.18,119.05,45.99,26.17,43.49,31.51,77.75,91.55,46.4,23.275,81.79,51.29,40.84,53.61,32.9,140.05
"84",2015-11-24,16.195,38.435,112,13,98.31,120,46.055,26.115,43.235,31.285,77.16,91.13,44.82,22.985,80.35,50.22,40.99,54.22,32.2,131.75
"85",2015-11-25,16.175,38.71,115,12.985,99.49,121.7,46.405,26.325,43.03,31.26,77.27,94.19,45.7,23.115,81.35,50.88,41.155,54.08,33.875,131.15
"86",2015-11-26,16.415,39.205,114.05,13.02,99.35,123.25,46.73,26.68,43.21,31.535,77.77,95.42,46.32,23.22,82.73,51.22,41.34,55.09,34.08,130.3
"87",2015-11-27,16.29,38.8,115,13.175,99.7,122.65,46.94,26.73,42.765,31.655,77.51,94.7,46.6,23.175,83.11,51.22,41.315,56.5,34.35,131.05
"88",2015-11-30,16.49,39.145,120.25,12.995,98.85,121.95,46.9,26.815,42.43,31.265,77.77,94.83,47.21,23,84.52,51.69,41.405,56.5,33.665,131.45
"89",2015-12-01,16.55,38.74,116.1,12.95,99.75,120.85,46.6,26.665,42.91,31.05,77.91,92.68,46.33,23.25,84.23,51.18,41.775,56.52,33.03,130.85
"90",2015-12-02,16.445,38.695,116.9,12.85,99.12,121.45,46.565,26.55,42.83,30.43,78.26,92.89,46.76,23.28,84.94,50.41,41.595,56.06,33.555,131.85
